product_url,tab_name,model_number,release_date,size_option,price,trade_time,collected_at
https://kream.co.kr/products/548447,체결 거래,HF5441-100,,290,"126,000원",13시간 전,2026-05-21T02:45:38
https://kream.co.kr/products/548447,체결 거래,HF5441-100,,275,"104,000원",26/05/19,2026-05-21T02:45:38
https://kream.co.kr/products/548447,체결 거래,HF5441-100,,255,"105,000원",26/05/17,2026-05-21T02:45:38
https://kream.co.kr/products/548447,체결 거래,HF5441-100,,265,"100,000원",26/05/12,2026-05-21T02:45:38
https://kream.co.kr/products/548447,체결 거래,HF5441-100,,270,"114,000원",26/05/10,2026-05-21T02:45:38
