product_url,tab_name,model_number,release_date,size_option,price,trade_time,collected_at
https://kream.co.kr/products/74717,체결 거래,H06260,,295,"146,000원",26/05/19,2026-05-21T02:51:08
https://kream.co.kr/products/74717,체결 거래,H06260,,270,"100,000원",26/05/15,2026-05-21T02:51:08
https://kream.co.kr/products/74717,체결 거래,H06260,,245,"90,000원",26/05/13,2026-05-21T02:51:08
https://kream.co.kr/products/74717,체결 거래,H06260,,235,"90,000원",26/05/12,2026-05-21T02:51:08
https://kream.co.kr/products/74717,체결 거래,H06260,,240,"81,000원",26/05/09,2026-05-21T02:51:08
