product_url,tab_name,model_number,release_date,size_option,price,trade_time,collected_at
https://kream.co.kr/products/12831,체결 거래,315122-111,,270,"114,000원",17분 전,2026-05-21T02:46:32
https://kream.co.kr/products/12831,체결 거래,315122-111,,275,"110,000원",37분 전,2026-05-21T02:46:32
https://kream.co.kr/products/12831,체결 거래,315122-111,,260,"114,000원",47분 전,2026-05-21T02:46:32
https://kream.co.kr/products/12831,체결 거래,315122-111,,270,"115,000원",52분 전,2026-05-21T02:46:32
https://kream.co.kr/products/12831,체결 거래,315122-111,,280,"103,000원",57분 전,2026-05-21T02:46:32
