product_url,tab_name,model_number,release_date,size_option,price,trade_time,collected_at
https://kream.co.kr/products/686901,체결 거래,FV5029-010,25/11/28,260,"379,000원",3시간 전,2026-05-21T02:51:43
https://kream.co.kr/products/686901,체결 거래,FV5029-010,25/11/28,265,"350,000원",12시간 전,2026-05-21T02:51:43
https://kream.co.kr/products/686901,체결 거래,FV5029-010,25/11/28,280,"377,000원",13시간 전,2026-05-21T02:51:43
https://kream.co.kr/products/686901,체결 거래,FV5029-010,25/11/28,280,"398,000원",16시간 전,2026-05-21T02:51:43
https://kream.co.kr/products/686901,체결 거래,FV5029-010,25/11/28,265,"364,000원",26/05/19,2026-05-21T02:51:43
