product_url,tab_name,model_number,release_date,size_option,price,trade_time,collected_at
https://kream.co.kr/products/331837,체결 거래,FQ8138-001,24/08/24,270,"380,000원",26/05/19,2026-05-21T02:52:09
https://kream.co.kr/products/331837,체결 거래,FQ8138-001,24/08/24,270,"455,000원",26/05/17,2026-05-21T02:52:09
https://kream.co.kr/products/331837,체결 거래,FQ8138-001,24/08/24,280,"390,000원",26/05/13,2026-05-21T02:52:09
https://kream.co.kr/products/331837,체결 거래,FQ8138-001,24/08/24,275,"382,000원",26/05/13,2026-05-21T02:52:09
https://kream.co.kr/products/331837,체결 거래,FQ8138-001,24/08/24,300,"350,000원",26/05/08,2026-05-21T02:52:09
