product_url,tab_name,model_number,release_date,size_option,price,trade_time,collected_at
https://kream.co.kr/products/12831,체결 거래,315122-111,,270,"114,000원",20분 전,2026-05-21T02:49:07
https://kream.co.kr/products/12831,체결 거래,315122-111,,275,"110,000원",39분 전,2026-05-21T02:49:07
https://kream.co.kr/products/12831,체결 거래,315122-111,,260,"114,000원",49분 전,2026-05-21T02:49:07
https://kream.co.kr/products/12831,체결 거래,315122-111,,270,"115,000원",54분 전,2026-05-21T02:49:07
https://kream.co.kr/products/12831,체결 거래,315122-111,,280,"103,000원",59분 전,2026-05-21T02:49:07
