target_id,브랜드,모델명,컬러웨이,한국 사이즈,KREAM 가격,가격 유형,상품 URL,상품명,수집일,상태,메모
SH-015,Nike,Dunk Low,Gray Fog,290,95000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 6시간 전
SH-015,Nike,Dunk Low,Gray Fog,270,112000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 7시간 전
SH-002,Adidas,Samba OG,Cloud White Black,200(US 1.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 15시간 전
SH-002,Adidas,Samba OG,Cloud White Black,190(13K),50000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/15
SH-002,Adidas,Samba OG,Cloud White Black,200(US 1.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/13
SH-002,Adidas,Samba OG,Cloud White Black,200(US 1.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/12
SH-002,Adidas,Samba OG,Cloud White Black,210(US 2.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/10
SH-003,New Balance,993,Gray,260,292000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 1시간 전
SH-003,New Balance,993,Gray,250,249000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 1시간 전
SH-003,New Balance,993,Gray,255,245000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 2시간 전
SH-003,New Balance,993,Gray,250,248000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 4시간 전
SH-003,New Balance,993,Gray,270,294000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 4시간 전
