target_id,brand,model,colorway,size_us,size_kr,ebay_price_original,currency_original,exchange_rate,ebay_price_krw,price_type,item_url,item_title,item_condition,shipping_price,collected_at,memo
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,327.0,USD,1360,445000,listing_price,https://www.ebay.com/itm/205201960416?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item2fc6fd6de0:g:z4IAAeSw69Jp6bQv,Air Jordan 1 Retro High OG Lost & Found DZ5485-612 Men Size,New with box,14.95,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,200.0,USD,1360,272000,listing_price,https://www.ebay.com/itm/358235819490?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item536884cde2:g:2LoAAeSwKytpl4OZ,Nike Air Jordan 1 Lost and Founds,Pre-owned - Excellent,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,414.7,USD,1360,564000,listing_price,https://www.ebay.com/itm/127797683007?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item1dc155e33f:g:kj4AAOSwUwVnAepZ,✅ Size 9 - Air Jordan 1 High Lost & Found (2022) Nike US9 and Retro OG Chicago,New with tags,50.05,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,225.0,USD,1360,306000,listing_price,https://www.ebay.com/itm/277900095646?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item40b422f09e:g:ysIAAeSwGgVp4RaB,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 9 - dz5485 612 (15207-2)",Pre-owned - Excellent,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,307.0,USD,1360,418000,listing_price,https://www.ebay.com/itm/277811916857?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item40aee17039:g:i4oAAeSw-6ZpuZEN,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 9 - dz5485 612 (2117-17)",New with box,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,290.0,USD,1360,394000,listing_price,https://www.ebay.com/itm/236718605780?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item371d8745d4:g:tEYAAeSwcN1pxzeZ,Nike Air Jordan 1  Lost and founds,Pre-owned - Excellent,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,313.0,USD,1360,426000,listing_price,https://www.ebay.com/itm/287220901882?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item42dfb327fa:g:sQYAAeSwpAxpVZx7,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 9 - dz5485 612 (6716-4)",New with box,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,313.0,USD,1360,426000,listing_price,https://www.ebay.com/itm/287220901880?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item42dfb327f8:g:elcAAeSwwTBpVZxx,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2023 - Size 9 - dz5485 612 (6144-1..",New with box,14.0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,179.99,USD,1360,245000,listing_price,https://www.ebay.com/itm/800010272236?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=itemba4453fdec:g:kDsAAeSwSptp-47f&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGZAnNPpHO4zg4h9Z%2FOQToxDetmjt10LY9is3FnqKQnNulWXWkzzcBkubdDAP33%2F4N8lkQNm1qDqp%2BrwsmHJm%2F1FTtiC7ZmBAk%2F5R1A%2B1zqngTsE2CiKHvARQMOqLbkhIg%2Fyms%2BdBxsNOB%2FV8rwl9TgPuOG3NO079OygeRih7TWkXcSPhbmqb4uOkCOb1Mu3XsHIBnJaDdg3rAz%2BruOtcEFEdW4ZA60VBrjmooN4wIW4LTpZnNMkeHdmC4m3cAu8q84Fwf3KPwV7ZHcZveyFVSeTwtGy81OrkxI6MxZr70tytthD82T5LLTRGDVsKabyWU0%3D,Jordan 1 Lost and Found Chicago Reimagined Men's Sneakers Size 9 PREOWNED,Pre-owned - Good,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
1,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,9,270,120.0,USD,1360,163000,listing_price,https://www.ebay.com/itm/257138539478?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item3bdea6bbd6:g:gDQAAeSwpAFo1a58&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGa8f9%2BB%2BfGeONscptrJQ91lg2AYnPlSwIv8Lns7C%2BRYazEgVf%2BtxWW5ewaZBNAr%2BzU909zMQ%2F8Agfgv%2BnPxZIVrNYTqkDDfzGOD%2FY%2F%2B368biH64fEVTT2YCvQ6hBfxfGXR3qIJ7WYX%2FpHSB81pvA0u%2BYE%2F%2BAAzMg5w5%2F0yLE5BEOgf96ke6Rpo9wmOOB4VnzWQFiMwlnHtYPjO6FdwmKaVsAMa44N1vjc%2FLDRc939S2EGgsV4CRYdJmOB2d%2BPgZR4VhNp3aJqL1wu77tWpI1rU20g41k4xs%2Faz8HF%2BgE5KRIcmcp%2FQeWjHlzUZzjTYSYBQ%3D,Size 9C - Nike Air Jordan 1 Retro High Lost And Found FD1413-612 NEW! Ship Fast!,New with box,0,2026-05-19,query=Nike Air Jordan 1 Lost and Found US 9; collected_by_browse_api
